Model,Temp,Language,Total,Compilable_before (%),Compilable_after (%)
qwen2.5,0.0,Greek,100,4.0,77.0
qwen2.5,0.0,Hebrew,100,8.0,92.0
qwen2.5,0.0,Hungarian,100,7.000000000000001,76.0
qwen2.5,0.0,Indonesian,100,5.0,82.0
qwen2.5,0.0,Italian,100,3.0,81.0
qwen2.5,0.0,Malay,100,5.0,80.0
qwen2.5,0.0,Persian,100,8.0,83.0
qwen2.5,0.0,Portuguese,100,3.0,90.0
qwen2.5,0.0,Russian,100,4.0,85.0
qwen2.5,0.0,Spanish,100,1.0,90.0
qwen2.5,0.0,Tagalog,100,6.0,80.0
qwen2.5,0.0,Turkish,100,6.0,84.0
qwen2.5,0.0,Vietnamese,100,3.0,84.0
qwen2.5,0.2,Afrikaans,1000,4.8,86.7
qwen2.5,0.2,Arabic,1000,5.2,84.0
qwen2.5,0.2,Bulgarian,1000,8.7,78.60000000000001
qwen2.5,0.2,Chinese,1000,3.5999999999999996,86.7
qwen2.5,0.2,Dutch,1000,5.800000000000001,85.5
qwen2.5,0.2,English,1000,2.9000000000000004,70.7
qwen2.5,0.2,Estonian,1000,2.1999999999999997,79.60000000000001
qwen2.5,0.2,Finnish,1000,4.1000000000000005,78.0
qwen2.5,0.2,French,1000,3.4000000000000004,88.0
qwen2.5,0.2,German,1000,3.4000000000000004,81.6
qwen2.5,0.2,Greek,1000,6.4,77.2
qwen2.5,0.2,Hebrew,1000,7.3999999999999995,89.0
qwen2.5,0.2,Hungarian,1000,7.9,76.2
qwen2.5,0.2,Indonesian,1000,6.1,80.30000000000001
qwen2.5,0.2,Italian,1000,3.4000000000000004,78.7
qwen2.5,0.2,Malay,1000,4.7,80.5
qwen2.5,0.2,Persian,1000,7.8,82.69999999999999
qwen2.5,0.2,Portuguese,1000,4.3,85.0
qwen2.5,0.2,Russian,1000,5.5,85.7
qwen2.5,0.2,Spanish,1000,1.9,88.7
qwen2.5,0.2,Tagalog,1000,5.0,78.8
qwen2.5,0.2,Turkish,1000,5.5,82.0
qwen2.5,0.2,Vietnamese,1000,3.9,83.0
qwen2.5,0.4,Afrikaans,1000,4.9,83.8
qwen2.5,0.4,Arabic,1000,5.7,83.39999999999999
qwen2.5,0.4,Bulgarian,1000,8.3,78.10000000000001
qwen2.5,0.4,Chinese,1000,5.0,84.89999999999999
qwen2.5,0.4,Dutch,1000,4.1000000000000005,81.10000000000001
qwen2.5,0.4,English,1000,3.3000000000000003,73.8
qwen2.5,0.4,Estonian,1000,3.5999999999999996,76.3
qwen2.5,0.4,Finnish,1000,4.9,75.6
qwen2.5,0.4,French,1000,3.9,84.2
qwen2.5,0.4,German,1000,3.9,80.30000000000001
qwen2.5,0.4,Greek,1000,7.3,75.6
qwen2.5,0.4,Hebrew,1000,6.4,86.4
qwen2.5,0.4,Hungarian,1000,7.3999999999999995,74.8
qwen2.5,0.4,Indonesian,1000,6.3,75.1
qwen2.5,0.4,Italian,1000,4.8,78.4
qwen2.5,0.4,Malay,1000,4.2,79.10000000000001
qwen2.5,0.4,Persian,1000,6.2,79.7
qwen2.5,0.4,Portuguese,1000,3.8,83.3
qwen2.5,0.4,Russian,1000,6.1,82.3
qwen2.5,0.4,Spanish,1000,3.3000000000000003,85.1
qwen2.5,0.4,Tagalog,1000,3.9,77.0
qwen2.5,0.4,Turkish,1000,5.1,79.4
qwen2.5,0.4,Vietnamese,1000,4.8,78.9
qwen2.5,0.6,Afrikaans,1000,3.2,81.69999999999999
qwen2.5,0.6,Arabic,1000,5.8999999999999995,81.10000000000001
qwen2.5,0.6,Bulgarian,1000,7.9,75.9
qwen2.5,0.6,Chinese,1000,5.3,80.9
qwen2.5,0.6,Dutch,1000,4.3999999999999995,79.9
qwen2.5,0.6,English,1000,4.1000000000000005,71.1
qwen2.5,0.6,Estonian,1000,4.1000000000000005,74.9
qwen2.5,0.6,Finnish,1000,4.6,71.1
qwen2.5,0.6,French,1000,4.7,80.80000000000001
qwen2.5,0.6,German,1000,3.5000000000000004,75.2
qwen2.5,0.6,Greek,1000,7.9,72.7
qwen2.5,0.6,Hebrew,1000,6.3,81.8
qwen2.5,0.6,Hungarian,1000,8.9,71.8
qwen2.5,0.6,Indonesian,1000,5.6000000000000005,74.8
qwen2.5,0.6,Italian,1000,4.9,76.0
qwen2.5,0.6,Malay,1000,5.2,75.9
qwen2.5,0.6,Persian,1000,7.8,76.9
qwen2.5,0.6,Portuguese,1000,4.8,78.0
qwen2.5,0.6,Russian,1000,5.8999999999999995,80.9
qwen2.5,0.6,Spanish,1000,3.5000000000000004,82.3
qwen2.5,0.6,Tagalog,1000,4.8,72.89999999999999
