Model,Temp,Language,Total,Compilable_before,Compilable_after,Compilable_before (%),Compilable_after (%)
gpt-4o-mini,1.0,Greek,1240,637,747,51.37096774193548,60.24193548387097
gpt-4o-mini,1.0,Hebrew,1240,506,816,40.806451612903224,65.80645161290323
gpt-4o-mini,1.0,Hungarian,1240,586,753,47.25806451612903,60.725806451612904
gpt-4o-mini,1.0,Indonesian,1240,437,836,35.24193548387097,67.41935483870968
gpt-4o-mini,1.0,Italian,1240,449,806,36.20967741935484,65.0
gpt-4o-mini,1.0,Malay,1240,411,861,33.145161290322584,69.43548387096774
gpt-4o-mini,1.0,Persian,1240,632,764,50.967741935483865,61.61290322580645
gpt-4o-mini,1.0,Portuguese,1240,475,810,38.306451612903224,65.32258064516128
gpt-4o-mini,1.0,Russian,1240,598,751,48.225806451612904,60.564516129032256
gpt-4o-mini,1.0,Spanish,1240,405,846,32.66129032258064,68.2258064516129
gpt-4o-mini,1.0,Tagalog,1240,472,805,38.064516129032256,64.91935483870968
gpt-4o-mini,1.0,Turkish,1240,494,849,39.83870967741935,68.46774193548387
gpt-4o-mini,1.0,Vietnamese,1240,454,845,36.612903225806456,68.14516129032258
qwen2.5,0.0,Afrikaans,1240,1237,838,99.75806451612902,67.58064516129032
qwen2.5,0.0,Arabic,1240,1237,847,99.75806451612902,68.30645161290323
qwen2.5,0.0,Bulgarian,1240,1230,777,99.19354838709677,62.66129032258064
qwen2.5,0.0,Chinese,1240,1240,790,100.0,63.70967741935484
qwen2.5,0.0,Dutch,1240,1225,783,98.79032258064517,63.145161290322584
qwen2.5,0.0,English,1250,1250,811,100.0,64.88000000000001
qwen2.5,0.0,Estonian,1240,1234,828,99.51612903225806,66.77419354838709
qwen2.5,0.0,Finnish,1240,1240,801,100.0,64.59677419354838
qwen2.5,0.0,French,1240,1230,762,99.19354838709677,61.45161290322581
qwen2.5,0.0,German,1240,1235,780,99.59677419354838,62.903225806451616
qwen2.5,0.0,Greek,1240,1240,790,100.0,63.70967741935484
qwen2.5,0.0,Hebrew,1240,1240,811,100.0,65.40322580645162
qwen2.5,0.0,Hungarian,1240,1238,766,99.83870967741936,61.7741935483871
qwen2.5,0.0,Indonesian,1240,1231,842,99.2741935483871,67.90322580645162
qwen2.5,0.0,Italian,1240,1235,777,99.59677419354838,62.66129032258064
qwen2.5,0.0,Malay,1240,1240,860,100.0,69.35483870967742
qwen2.5,0.0,Persian,1240,1240,709,100.0,57.17741935483871
qwen2.5,0.0,Portuguese,1240,1240,789,100.0,63.62903225806451
qwen2.5,0.0,Russian,1240,1230,792,99.19354838709677,63.87096774193548
qwen2.5,0.0,Spanish,1240,1236,808,99.67741935483872,65.16129032258064
qwen2.5,0.0,Tagalog,1240,1235,798,99.59677419354838,64.35483870967742
qwen2.5,0.0,Turkish,1240,1240,767,100.0,61.854838709677416
qwen2.5,0.0,Vietnamese,1240,1240,807,100.0,65.08064516129032
qwen2.5,0.2,Afrikaans,1240,1228,848,99.03225806451613,68.38709677419355
qwen2.5,0.2,Arabic,1240,1231,812,99.2741935483871,65.48387096774194
qwen2.5,0.2,Bulgarian,1240,1226,762,98.87096774193549,61.45161290322581
qwen2.5,0.2,Chinese,1240,1234,765,99.51612903225806,61.693548387096776
qwen2.5,0.2,Dutch,1240,1227,792,98.95161290322581,63.87096774193548
qwen2.5,0.2,English,1250,1249,804,99.92,64.32
qwen2.5,0.2,Estonian,1240,1237,803,99.75806451612902,64.75806451612904
qwen2.5,0.2,Finnish,1240,1234,790,99.51612903225806,63.70967741935484
qwen2.5,0.2,French,1240,1229,732,99.11290322580645,59.03225806451613
qwen2.5,0.2,German,1240,1230,776,99.19354838709677,62.58064516129033
qwen2.5,0.2,Greek,1240,1233,788,99.43548387096774,63.54838709677419
qwen2.5,0.2,Hebrew,1240,1240,840,100.0,67.74193548387096
qwen2.5,0.2,Hungarian,1240,1230,751,99.19354838709677,60.564516129032256
qwen2.5,0.2,Indonesian,1240,1231,824,99.2741935483871,66.45161290322581
qwen2.5,0.2,Italian,1240,1224,773,98.70967741935483,62.33870967741936
qwen2.5,0.2,Malay,1240,1235,846,99.59677419354838,68.2258064516129
qwen2.5,0.2,Persian,1240,1239,713,99.91935483870968,57.49999999999999
qwen2.5,0.2,Portuguese,1240,1235,802,99.59677419354838,64.6774193548387
qwen2.5,0.2,Russian,1240,1231,772,99.2741935483871,62.25806451612903
qwen2.5,0.2,Spanish,1240,1228,794,99.03225806451613,64.03225806451613
qwen2.5,0.2,Tagalog,1240,1236,793,99.67741935483872,63.95161290322581
qwen2.5,0.2,Turkish,1240,1236,774,99.67741935483872,62.41935483870967
qwen2.5,0.2,Vietnamese,1240,1234,773,99.51612903225806,62.33870967741936
qwen2.5,0.4,Afrikaans,1240,1228,814,99.03225806451613,65.64516129032259
qwen2.5,0.4,Arabic,1240,1222,801,98.54838709677419,64.59677419354838
qwen2.5,0.4,Bulgarian,1240,1217,770,98.14516129032258,62.096774193548384
qwen2.5,0.4,Chinese,1240,1228,766,99.03225806451613,61.7741935483871
qwen2.5,0.4,Dutch,1240,1222,772,98.54838709677419,62.25806451612903
qwen2.5,0.4,English,1250,1239,796,99.11999999999999,63.68000000000001
qwen2.5,0.4,Estonian,1240,1229,790,99.11290322580645,63.70967741935484
qwen2.5,0.4,Finnish,1240,1227,783,98.95161290322581,63.145161290322584
qwen2.5,0.4,French,1240,1225,716,98.79032258064517,57.74193548387097
qwen2.5,0.4,German,1240,1220,754,98.38709677419355,60.806451612903224
qwen2.5,0.4,Greek,1240,1229,792,99.11290322580645,63.87096774193548
qwen2.5,0.4,Hebrew,1240,1234,818,99.51612903225806,65.96774193548387
qwen2.5,0.4,Hungarian,1240,1228,739,99.03225806451613,59.596774193548384
qwen2.5,0.4,Indonesian,1240,1219,804,98.30645161290322,64.83870967741936
qwen2.5,0.4,Italian,1240,1221,743,98.46774193548387,59.91935483870968
qwen2.5,0.4,Malay,1240,1226,839,98.87096774193549,67.66129032258064
qwen2.5,0.4,Persian,1240,1231,703,99.2741935483871,56.69354838709677
qwen2.5,0.4,Portuguese,1240,1234,759,99.51612903225806,61.20967741935483
qwen2.5,0.4,Russian,1240,1219,737,98.30645161290322,59.435483870967744
qwen2.5,0.4,Spanish,1240,1224,774,98.70967741935483,62.41935483870967
qwen2.5,0.4,Tagalog,1240,1236,785,99.67741935483872,63.306451612903224
qwen2.5,0.4,Turkish,1240,1224,775,98.70967741935483,62.5
qwen2.5,0.4,Vietnamese,1240,1221,788,98.46774193548387,63.54838709677419
qwen2.5,0.6,Afrikaans,1240,1209,790,97.5,63.70967741935484
qwen2.5,0.6,Arabic,1240,1213,739,97.8225806451613,59.596774193548384
qwen2.5,0.6,Bulgarian,1240,1217,757,98.14516129032258,61.04838709677419
qwen2.5,0.6,Chinese,1240,1210,756,97.58064516129032,60.967741935483865
qwen2.5,0.6,Dutch,1240,1213,763,97.8225806451613,61.532258064516135
qwen2.5,0.6,English,1250,1225,778,98.0,62.239999999999995
qwen2.5,0.6,Estonian,1240,1224,750,98.70967741935483,60.483870967741936
qwen2.5,0.6,Finnish,1240,1213,783,97.8225806451613,63.145161290322584
qwen2.5,0.6,French,1240,1208,742,97.41935483870968,59.83870967741935
qwen2.5,0.6,German,1240,1214,751,97.90322580645162,60.564516129032256
qwen2.5,0.6,Greek,1240,1210,762,97.58064516129032,61.45161290322581
qwen2.5,0.6,Hebrew,1240,1215,797,97.98387096774194,64.27419354838709
qwen2.5,0.6,Hungarian,1240,1214,709,97.90322580645162,57.17741935483871
qwen2.5,0.6,Indonesian,1240,1202,764,96.93548387096774,61.61290322580645
qwen2.5,0.6,Italian,1240,1206,755,97.25806451612902,60.88709677419355
qwen2.5,0.6,Malay,1240,1206,797,97.25806451612902,64.27419354838709
qwen2.5,0.6,Persian,1240,1215,688,97.98387096774194,55.483870967741936
qwen2.5,0.6,Portuguese,1240,1217,720,98.14516129032258,58.06451612903226
qwen2.5,0.6,Russian,1240,1220,729,98.38709677419355,58.79032258064516
qwen2.5,0.6,Spanish,1240,1203,738,97.01612903225806,59.51612903225807
