Model,Language,Temp,vul@1,vul@3,vul@5,in_vul@1,in_vul@3,in_vul@5,security@1,security@3,security@5,in_security@1,in_security@3,in_security@5
gpt-4o-mini,French,0.2,46.25,47.49053030303031,47.700216450216445,67.1590909090909,68.32386363636364,69.06565656565657,53.40909090909091,52.27272727272727,52.27272727272727,34.090909090909086,32.95454545454545,31.818181818181817
gpt-4o-mini,Italian,0.2,47.368421052631575,49.17543859649122,49.44444444444444,66.73684210526316,68.38596491228071,68.89724310776943,51.578947368421055,50.526315789473685,50.526315789473685,31.57894736842105,31.57894736842105,31.57894736842105
gpt-4o-mini,Greek,0.2,44.61538461538462,46.06227106227105,46.60736089307518,65.38461538461539,65.84249084249085,65.9297052154195,56.043956043956044,53.84615384615385,52.74725274725275,35.16483516483517,35.16483516483517,34.065934065934066
gpt-4o-mini,Western Persian,0.2,48.44444444444444,49.71296296296296,49.96913580246913,69.22222222222221,69.81481481481482,69.97354497354497,50.0,50.0,50.0,30.0,30.0,30.0
gpt-4o-mini,Russian,0.2,39.34065934065934,39.56043956043956,39.56043956043956,64.06593406593406,64.98168498168498,65.35845107273678,61.53846153846154,60.43956043956044,60.43956043956044,37.362637362637365,35.16483516483517,34.065934065934066
gpt-4o-mini,Bulgarian,0.2,46.23529411764706,46.86274509803921,47.03081232492997,67.64705882352942,68.19607843137256,68.23529411764706,52.94117647058824,52.94117647058824,52.94117647058824,31.76470588235294,31.76470588235294,31.76470588235294
gpt-4o-mini,Chinese,0.2,42.88888888888889,43.888888888888886,44.19753086419753,66.55555555555556,68.31481481481482,69.32098765432099,57.77777777777777,56.666666666666664,56.666666666666664,34.44444444444444,31.11111111111111,31.11111111111111
gpt-4o-mini,Turkish,0.2,46.27659574468085,46.950354609929086,47.31509625126647,66.59574468085107,66.98581560283688,67.02127659574468,53.191489361702125,52.12765957446809,52.12765957446809,34.04255319148936,32.97872340425532,32.97872340425532
gpt-4o-mini,Estonian,0.2,40.81395348837209,42.10271317829457,42.66795865633075,67.67441860465117,70.30038759689923,71.63621262458473,59.30232558139535,58.139534883720934,56.97674418604651,29.069767441860467,27.906976744186046,26.744186046511626
gpt-4o-mini,Finnish,0.2,43.103448275862064,43.83141762452108,44.22550629447181,70.22988505747125,71.06321839080461,71.23700054734537,56.32183908045977,56.32183908045977,56.32183908045977,28.735632183908045,28.735632183908045,28.735632183908045
